Block Height,Mining Pool,Timestamp,Found In (min),Block Reward (BTC),Fees (BTC),Total Input (BTC),Size (MB),Tx Count
890657,"Foundry USA",2025-04-03T04:58:32.000Z,15,3.156,0.031,2279,1.58,1948
890656,"BTC.com",2025-04-03T04:43:07.000Z,2,3.138,0.013,579,1.86,1135
890655,"Foundry USA",2025-04-03T04:40:39.000Z,9,3.151,0.026,3861,1.49,1580
890654,"Antpool",2025-04-03T04:31:17.000Z,15,3.157,0.032,2788,1.54,2156
890653,"WhitePool",2025-04-03T04:16:37.000Z,13,3.151,0.026,3377,1.57,1965
890652,"Binance Pool",2025-04-03T04:03:10.000Z,1,3.137,0.012,204,1.74,1076
890651,"Foundry USA",2025-04-03T04:02:26.000Z,5,3.148,0.023,1354,1.43,1160
890650,"ViaBTC",2025-04-03T03:57:35.000Z,3,3.145,0.020,1026,1.99,1112
890649,"F2Pool",2025-04-03T03:54:47.000Z,10,3.155,0.030,3089,2.22,2357
890648,"Foundry USA",2025-04-03T03:44:29.000Z,5,3.167,0.042,1459,1.75,3826
890647,"SBI Crypto",2025-04-03T03:39:02.000Z,2,3.157,0.032,9229,1.65,3819
890646,"Antpool",2025-04-03T03:36:51.000Z,4,3.162,0.037,1177,1.74,4417
890645,"Foundry USA",2025-04-03T03:32:59.000Z,11,3.178,0.053,3085,1.64,3873
890644,"Luxor",2025-04-03T03:21:31.000Z,32,3.197,0.072,3456,1.53,2603
890643,"Antpool",2025-04-03T02:49:54.000Z,10,3.161,0.036,2494,1.71,3171
890642,"MARA Pool",2025-04-03T02:40:13.000Z,7,3.159,0.034,3106,1.88,2264
890641,"Foundry USA",2025-04-03T02:33:37.000Z,22,3.166,0.041,2857,1.53,3331
890640,"Foundry USA",2025-04-03T02:11:33.000Z,7,3.155,0.030,1222,2.44,2888
890639,"Antpool",2025-04-03T02:04:25.000Z,13,3.159,0.034,1907,2.07,2592
890638,"Carbon Negative",2025-04-03T01:51:35.000Z,12,3.158,0.033,4188,2.53,2339
890637,"ViaBTC",2025-04-03T01:39:11.000Z,20,3.163,0.038,3290,2.15,2662
890636,"Luxor",2025-04-03T01:19:28.000Z,5,3.147,0.022,1561,1.89,3304
890635,"NiceHash",2025-04-03T01:13:59.000Z,4,3.157,0.032,2268,2.01,2650
890634,"Antpool",2025-04-03T01:09:54.000Z,32,3.180,0.055,9616,1.58,3406
890633,"F2Pool",2025-04-03T00:37:53.000Z,28,3.173,0.048,24970,1.62,3235
890632,"Foundry USA",2025-04-03T00:09:59.000Z,15,3.164,0.039,5788,1.65,3086
